image,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,command,speed_left,speed_right
000001.jpg,2026-02-28T00:15:34.822061,0.02392822690308094,0.040378883481025696,9.797113418579102,0.0,0.00013315795513335615,0.00013315795513335615,stop,0.0,0.0
000002.jpg,2026-02-28T00:15:34.943604,0.02392822690308094,0.040378883481025696,9.797113418579102,0.0,0.00013315795513335615,0.00013315795513335615,stop,0.0,0.0
000003.jpg,2026-02-28T00:15:35.068816,0.027816563844680786,0.029910283163189888,9.801898956298828,-0.0,-0.0,0.0003994738799519837,stop,0.0,0.0
000004.jpg,2026-02-28T00:15:35.186557,0.03290131315588951,0.03559323772788048,9.79083251953125,-0.0,-0.0,0.0003994738799519837,stop,0.0,0.0
000005.jpg,2026-02-28T00:15:35.307133,0.03170489892363548,0.02392822690308094,9.794720649719238,-0.00013315795513335615,-0.0003994738799519837,-0.0,stop,0.0,0.0
000006.jpg,2026-02-28T00:15:35.426448,0.024227328598499298,0.031405795365571976,9.798309326171875,-0.00013315795513335615,-0.0003994738799519837,-0.0,stop,0.0,0.0
000007.jpg,2026-02-28T00:15:35.552057,0.03200400248169899,0.026620151475071907,9.772287368774414,-0.0,-0.0002663159102667123,-0.0002663159102667123,stop,0.0,0.0
000008.jpg,2026-02-28T00:15:35.677352,0.03200400248169899,0.026620151475071907,9.772287368774414,0.0,-0.00013315795513335615,-0.00013315795513335615,stop,0.0,0.0
000009.jpg,2026-02-28T00:15:35.795294,0.024526432156562805,0.04546362906694412,9.805787086486816,0.0,-0.00013315795513335615,-0.00013315795513335615,stop,0.0,0.0
000010.jpg,2026-02-28T00:15:35.916906,0.03349951654672623,0.03320041298866272,9.792028427124023,0.00013315795513335615,-0.0,-0.0002663159102667123,stop,0.0,0.0
000011.jpg,2026-02-28T00:15:36.034799,0.03170489892363548,0.040378883481025696,9.815059661865234,0.0002663159102667123,-0.0,-0.00013315795513335615,stop,0.0,0.0
000012.jpg,2026-02-28T00:15:36.147056,0.01824527233839035,0.029012974351644516,9.788140296936035,0.0002663159102667123,-0.0,-0.00013315795513335615,stop,0.0,0.0
000013.jpg,2026-02-28T00:15:36.275769,0.01824527233839035,0.029012974351644516,9.788140296936035,-0.00013315795513335615,-0.00013315795513335615,-0.00013315795513335615,stop,0.0,0.0
000014.jpg,2026-02-28T00:15:36.398244,0.0364905446767807,0.030209386721253395,9.79681396484375,-0.00013315795513335615,-0.00013315795513335615,-0.00013315795513335615,stop,0.0,0.0
000015.jpg,2026-02-28T00:15:36.520284,0.024526432156562805,0.034995030611753464,9.809675216674805,-0.0002663159102667123,0.00013315795513335615,-0.0,stop,0.0,0.0
000016.jpg,2026-02-28T00:15:36.646615,0.024526432156562805,0.034995030611753464,9.809675216674805,-0.0,0.00013315795513335615,0.0002663159102667123,stop,0.0,0.0
000017.jpg,2026-02-28T00:15:36.766694,0.02273181453347206,0.024825535714626312,9.798608779907227,-0.0,0.00013315795513335615,0.0002663159102667123,stop,0.0,0.0
000018.jpg,2026-02-28T00:15:36.889002,0.031106693670153618,0.03918246924877167,9.809675216674805,0.0003994738799519837,-0.00013315795513335615,0.0,stop,0.0,0.0
000019.jpg,2026-02-28T00:15:37.007255,0.031106693670153618,0.03918246924877167,9.809675216674805,0.0003994738799519837,-0.00013315795513335615,0.0,stop,0.0,0.0
000020.jpg,2026-02-28T00:15:37.127308,0.029312077909708023,0.03439682722091675,9.788738250732422,-0.00013315795513335615,-0.00013315795513335615,-0.0002663159102667123,stop,0.0,0.0
000021.jpg,2026-02-28T00:15:37.250160,0.029312077909708023,0.03439682722091675,9.788738250732422,0.00013315795513335615,-0.0,-0.0002663159102667123,stop,0.0,0.0
